code,name,name_en,lat,lon,type,country
12173,昌平,Changping,40.188625,116.187343,junction,cr
11627,雁栖湖,Yanqihu,40.373016,116.654039,junction,cr
11726,隆化,Longhua,41.326358,117.744138,junction,cr
d1cb33d9,青龙桥南所,,40.345510,116.016287,junction,cr
8e3d1b7c,青龙桥西,,40.343699,116.010169,junction,cr
ecab1a69,青龙桥北所,,40.351010,116.010063,junction,cr
12212,青龙桥,Qinglongqiao,40.349990,116.019242,junction,cr
12596,台阁牧,Taigemu,40.745403,111.474239,junction,cr
14507,包头西,Baotou W.,40.609339,109.745534,junction,cr
21959,何刘,Heliu,30.531025,114.490196,junction,cr
36257,柳州,Liuzhou,24.310558,109.383696,junction,cr
36374,黎塘,Litang,23.197721,109.128793,junction,cr
47744,燕岗,Yangang,29.555199,103.521754,junction,cr
48101,广通北,Guangtong N.,25.167389,101.763660,junction,cr
26468,太原南,Taiyuan S.,37.790580,112.603721,junction,cr
65054,定边,Dingbian,37.561211,107.571514,junction,cr
59567,富裕,Fuyu,47.794401,124.453512,junction,cr
57485,红旗营,Hongqiying,47.114366,123.906848,junction,cr
57749,牙克石,Yakeshi,49.277502,120.731077,junction,cr
58910,加格达奇,Jagdaqi,50.418669,124.119179,junction,cr
58298,伊图里河,Yitulihe,50.627233,121.545366,junction,cr
61931,新香坊,Xin Xiangfang,45.709644,126.761697,junction,cr
64301,梅河口,Meihekou,42.533609,125.679816,junction,cr
13385,石景山南,Shijingshan S.,39.873525,116.208327,junction,cr
11378,怀柔,Huairou,40.316018,116.642939,junction,cr
697325ec,赵家店所,,40.630505,117.768664,junction,cr
10973,李家营,Lijiaying,40.582992,117.748895,junction,cr
18663,西陌堂所,,37.413618,121.339061,junction,cr
19682,淮南,Huainan,32.633232,117.014504,junction,cr
32078,莘庄,Xinzhuang,31.110862,121.379850,junction,cr
912699c8,春申南所,,31.080518,121.350909,junction,cr
cc45f8ec,春申所,,31.081196,121.352311,junction,cr
a535f86a,笕桥所,,30.354931,120.244343,junction,cr
34565,前场,Qianchang,24.572739,117.973087,junction,cr
33988,温州北,Wenzhou N.,28.071188,120.692755,junction,cr
43502,西宁,Xining,36.620513,101.811449,junction,cr
63227,敦化,Dunhua,43.378230,128.235667,junction,cr
09e52b7e,敦化南,Dunhua S.,43.316878,128.332657,junction,cr
67034,姚家窝堡所,,42.024395,122.660732,junction,cr
53293,田家窝堡所,,42.052010,122.683919,junction,cr
53480,崔家营子所,,43.934415,125.249990,junction,cr
54119,杨家粉坊所,,43.916288,125.265797,junction,cr
0fe38421,走马岭所,,30.634842,114.013787,junction,cr
06e54b21,高桥所,,30.617726,114.055252,junction,cr
17699,大明湖,Daminghu,36.681364,117.022926,junction,cr
